PLACA;MARCA;MODELO;UNIDADE;PROPRIETARIO;RESPONSAVEL;GERENTE;CNPJ PROPRIETARIO;TIPO PROPRIETARIO;SEGURO STATUS
AOL-1D08;FIAT;FIORINO;PRI PONTA GROSSA GARAGEM;RAFAELA OLIVEIRA FRANCO TRANSPORTE EIREL;Aguinaldo Lopes Antonioli;Joel Schemuda;40.123.004/0001-81;Agente;Ativo
FEC-0B29;M.BENZ;I/MBENZ 310 SPRINTERF;PRI PONTA GROSSA GARAGEM;RAFAELA OLIVEIRA FRANCO TRANSPORTE EIREL;Aguinaldo Lopes Antonioli;Joel Schemuda;40.123.004/0001-81;Agente;Ativo
AOA-7I42;FORD;FORD/CARGO 2422 E;PRI PONTA GROSSA GARAGEM;RODOPAULO TRANSPORTES LTDA;Marcos Alexandre Alves;Ademir B. Queiroz;49.934.918/0001-05;Agente;Ativo
AKC-5I37;I/MBENZ;311CDI SPRINTERF;PRI PONTA GROSSA GARAGEM;RAFAELA OLIVEIRA FRANCO TRANSPORTE EIREL;Aguinaldo Lopes Antonioli;Joel Schemuda;40.123.004/0001-81;Agente;Ativo
AOK-3H72;SR/BONANO SR;SR/BONANO SRF3MN TE;PRI PONTA GROSSA GARAGEM;V G DE SOUZA & CIA LTDA EPP;Aguinaldo Lopes Antonioli;Joel Schemuda;10.541.615/0001-89;Agente;Ativo
BBO-9A18;SR/FACCHINI S;SR/FACCHINI SRF CF;PRI PONTA GROSSA GARAGEM;V G DE SOUZA & CIA LTDA EPP;Aguinaldo Lopes Antonioli;Joel Schemuda;10.541.615/0001-89;Agente;Ativo
BDD-1B54;VW/24.280 CRM;W/24.280 CRM 6X2;PRI PONTA GROSSA GARAGEM;V G DE SOUZA & CIA LTDA EPP;Aguinaldo Lopes Antonioli;Joel Schemuda;10.541.615/0001-89;Agente;Inativo
ATL-2I72;VW/15.180 CNM;VW/15.180;EPC FRANCISCO BELTRAO;MARCOS ROBERTO DOMINGUES PINTO TRANSPORT;Aguinaldo Lopes Antonioli;Joel Schemuda;45.739.654/0001-70;Agente;Inativo
BDX-6D11;VW/24.280;VW/24.280;EPC FRANCISCO BELTRAO;V G DE SOUZA & CIA LTDA EPP;Aguinaldo Lopes Antonioli;Joel Schemuda;10.541.615/0001-89;Agente;Inativo
CMR-9138;SR/RABDON;SR FG;EPC PONTA GROSSA;J R DE SOUZA ABRAHAO LOCADORA EIRELI ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;23.883.638/0001-13;Agente;Ativo
AAD-8B99;M.BENZ;L1218;EPC PONTA GROSSA;RAFAELA OLIVEIRA FRANCO TRANSPORTE EIREL;Aguinaldo Lopes Antonioli;Joel Schemuda;40.123.004/0001-81;Agente;Ativo
HRZ-8A38;VOLKSWAGEM;VW/17220;EPC CASCAVEL;RODOPAULO TRANSPORTES LTDA;Marcos Alexandre Alves;Ademir B. Queiroz;49.934.918/0001-05;Agente;Inativo
APD-2D61;M.BENZ/ATEGO;M.BENZ/ATEGO 2425;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Ativo
AKW-5250;M.BENZ;M.BENZ / L1622;PRI PONTA GROSSA GARAGEM;EMIKO ELIZA TANAKA TRANSPORTES - ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;03.907.456/0001-28;Agente;Inativo
APM-0I61;SCANIA;SCANIA / R124 420;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Inativo
ASD-3907;M.BENZ;M.BENZ / AXOR 1933 S;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Inativo
AWH-8E15;M.BENZ;M.BENZ / AXOR 2036 S;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Ativo
AXH-5058;M.BENZ;M.BENZ / AXOR 2041 S;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Inativo
BDO-9J81;M.BENZ;M.BENZ / AXOR 2036 LS;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Inativo
EGK-6526;M.BENZ;M.BENZ / AXOR / 2035;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Ativo
IQV-8B95;M.BENZ / AXOR;M.BENZ / AXOR 2040 S;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Ativo
AJI-3D22;M.BENZ;ATEGO 2425;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Ativo
